"","time","datacount","interval","activity","cumulativesteps","methrs"
"291",2019-04-11 13:03:00,469818,2.2,2,258,0.00157777777777778
"292",2019-04-11 13:03:02,469840,2.3,2,260,0.00161666666666667
"293",2019-04-11 13:03:05,469863,4.2,2,262,0.00235555555555556
"294",2019-04-11 13:03:09,469905,34.7,1,262,0.0134944444444444
"295",2019-04-11 13:03:44,470252,3.3,2,264,0.00200555555555556
"296",2019-04-11 13:03:47,470285,33.5,1,264,0.0130277777777778
"297",2019-04-11 13:04:20,470620,5.2,2,266,0.00274444444444444
"298",2019-04-11 13:04:26,470672,2,2,268,0.0015
"299",2019-04-11 13:04:28,470692,3.5,2,270,0.00208333333333333
"300",2019-04-11 13:04:31,470727,0.3,1,270,0.000116666666666667
"301",2019-04-11 13:04:31,470730,21.9,0,270,0.00760416666666667
"302",2019-04-11 13:04:53,470949,44.5,1,270,0.0173055555555556
"303",2019-04-11 13:05:38,471394,4.5,2,272,0.00247222222222222
"304",2019-04-11 13:05:42,471439,1.6,2,274,0.00134444444444444
"305",2019-04-11 13:05:44,471455,10.2,1,274,0.00396666666666667
"306",2019-04-11 13:05:54,471557,5.2,2,276,0.00274444444444444
"307",2019-04-11 13:05:59,471609,7.2,1,276,0.0028
"308",2019-04-11 13:06:07,471681,1.9,2,278,0.00146111111111111
"309",2019-04-11 13:06:09,471700,0.3,1,278,0.000116666666666667
"310",2019-04-11 13:06:09,471703,6187.1,0,278,2.14829861111111
"311",2019-04-11 14:49:16,533574,13.6,1,278,0.00528888888888889
"312",2019-04-11 14:49:29,533710,47.8,0,278,0.0165972222222222
"313",2019-04-11 14:50:17,534188,20.7,1,278,0.00805
"314",2019-04-11 14:50:38,534395,2.2,2,280,0.00157777777777778
"315",2019-04-11 14:50:40,534417,5.3,2,282,0.00278333333333333
"316",2019-04-11 14:50:46,534470,0.4,1,282,0.000155555555555556
"317",2019-04-11 14:50:46,534474,174.6,0,282,0.060625
"318",2019-04-11 14:53:40,536220,18,1,282,0.007
"319",2019-04-11 14:53:59,536400,5.9,2,284,0.00301666666666667
"320",2019-04-11 14:54:04,536459,5.7,2,286,0.00293888888888889
"321",2019-04-11 14:54:10,536516,7.8,1,286,0.00303333333333333
"322",2019-04-11 14:54:18,536594,4.3,2,288,0.00239444444444444
"323",2019-04-11 14:54:22,536637,9.8,1,288,0.00381111111111111
"324",2019-04-11 14:54:32,536735,3.7,2,290,0.00216111111111111
